data,indicador,hoje,mtd,ytd,hoje_ant,mtd_ant,ytd_ant
2026-08-12,Receita total por pessoa,290,248.14,220.08,267.64,210.25,206.87
2026-08-12,Reservas canceladas hoje,8,95,2861,8,807,5118
2026-08-12,Reservas feitas hoje,74,699,12791,56,821,15750
2026-08-12,Saídas de membros (%),50,39.77,44.31,33.33,31.67,32.47
2026-08-12,Saídas de membros avulsos (%),50,39.77,44.31,33.33,31.67,32.47
2026-08-12,Tarifa média por pessoa,229.94,202.47,175.70,215.81,169.13,164.73
2026-08-12,Taxa de camas ocupadas,0,0,0,0,0,0
2026-08-12,Taxa de ocupação,91.25,75.10,74.69,92.50,73.33,76.98
2026-08-12,Total de pessoas no hotel,86,929,19310,86,965,20175
2026-08-12,Total de quartos do hotel,80,960,17920,80,960,17920
2026-08-12,Total de quartos menos fora de ordem (OOO),79,947,17850,80,960,17795
